date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:41	11107/11107	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Dec%202024%2012:48:41%20GMT	https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46.html	(from )
08:50:42	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-55938e88abb80%22	https://evento.minedu.gob.bo/robots.txt		(from )
08:50:42	645/645	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2012:48:42%20GMT	https://evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/60.png	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/60.png	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
08:50:42	645/645	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2012:48:42%20GMT	https://evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/76.png	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/76.png	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
08:50:43	645/645	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2012:48:42%20GMT	https://evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/120.png	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/120.png	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
08:50:43	645/645	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2012:48:43%20GMT	https://evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/152.png	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/validaCertificadoQR/322/pages/ico/152.png	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
08:50:44	7365/7365	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Dec%202024%2012:48:43%20GMT	https://evento.minedu.gob.bo/validaCertificadoQR/322/favicon.ico	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/validaCertificadoQR/322/favicon.html	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
08:50:44	389/389	---M--	200	added ('OK')	image/png	etag:%22185-55938e88abb80%22	https://evento.minedu.gob.bo/favicon.png	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/favicon.png	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
08:50:44	1807/1807	---M-Z	200	added ('OK')	text/css	etag:%2270f-55938e941d680-gzip%22	https://evento.minedu.gob.bo/vendors/pace/pace-theme-flash.css	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/vendors/pace/pace-theme-flash.css	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
08:50:44	121158/121158	---M-Z	200	added ('OK')	text/css	etag:%221d946-55938e9bbe880-gzip%22	https://evento.minedu.gob.bo/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Certificados/evento.minedu.gob.bo/vendors/bootstrap/css/bootstrap.min.css	(from https://evento.minedu.gob.bo/validaCertificadoQR/322/bdb635210a9c48b920ba52f7ca4d3f46)
